group,n_storeys,theta,beta
group_3s_00,3,0.4083971673241119,0.2154459440856429
group_3s_01,3,0.3969159424570298,0.1857220749445079
group_3s_02,3,0.397954996759285,0.1865005656576242
group_3s_03,3,0.4841065565059645,0.1858806395959118
group_3s_04,3,0.376361573307946,0.1813396543927144
group_3s_05,3,0.3761227921925262,0.1813023226608156
group_3s_06,3,0.3699347195121079,0.1762573547741561
group_3s_07,3,0.3762726826745597,0.1816115082450114
group_3s_08,3,0.3767637686891061,0.1836179577753137
group_3s_09,3,0.4465641685731704,0.166596500464987
group_3s_10,3,0.4739365077342445,0.2136555062261143
group_3s_11,3,0.8136924878918566,0.263033146175631
group_3s_12,3,0.4643856706258773,0.1726233608163767
group_3s_13,3,0.4511536267838207,0.1749996142528803
group_3s_14,3,0.4712841966981388,0.2168666719939885
group_3s_15,3,0.898774045116336,0.3285801716461894
group_3s_16,3,0.4667754812330345,0.2092235262510548
group_3s_17,3,0.6086774313367977,0.2247975860034676
group_3s_18,3,0.572280340002846,0.233271558697073
group_3s_19,3,0.6097461882181339,0.2353207646105712
group_3s_20,3,0.6338901683376298,0.2105355569174887
group_3s_21,3,0.6338290333020326,0.2067341186794097
group_3s_22,3,0.7940736910604445,0.2601993613652058
group_3s_23,3,0.8122218081818791,0.2598653006910157
group_3s_24,3,0.6027478672981784,0.2424701835291614
group_5s_00,5,0.352807661940145,0.1805098375278922
group_5s_01,5,0.462439827666854,0.1963244974424028
group_5s_02,5,0.4430250997111125,0.191514849796215
group_5s_03,5,0.4210539203357845,0.1733952718432553
group_5s_04,5,0.416174761134514,0.1702205979112404
group_5s_05,5,0.4576192461911596,0.1732959312535757
group_5s_06,5,0.3265963786036838,0.1865473725159651
group_5s_07,5,0.5973845865882342,0.190770448578886
group_5s_08,5,0.6304245256826175,0.191006560245823
group_5s_09,5,0.4022143437794156,0.2049880064808388
group_5s_10,5,0.4683776448939102,0.1821411043257859
group_5s_11,5,0.7032829204436798,0.1928849260877313
group_5s_12,5,0.6074385215342876,0.2136232764310429
group_5s_13,5,0.7440224310585534,0.1740607275699009
group_5s_14,5,0.4322301188697793,0.2222243518760776
group_5s_15,5,0.4240842545272876,0.1933737819592512
group_5s_16,5,0.5261363571173163,0.2257370442393368
group_5s_17,5,0.5735075169901865,0.2032739053892549
group_5s_18,5,0.7326351675219026,0.1946441041700072
group_5s_19,5,0.610215598418688,0.2061197388861123
group_5s_20,5,0.6221889791293286,0.1986071248762412
group_5s_21,5,0.6709949908922497,0.2185721572913561
group_5s_22,5,0.4687117474463652,0.2073781104420911
group_5s_23,5,0.6327445584652961,0.2126040953296626
group_5s_24,5,0.4322062909099658,0.2224900854498037
group_5s_25,5,0.626360669028379,0.1676927672482968
