IM,info,info,info,SA,SA,AvgSA_03,AvgSA_03,AvgSA_06,AvgSA_06
parameter,storeys,n_sites,sites,median,dispersion,median,dispersion,median,dispersion
group,,,,,,,,,
group_3s_00,3,8,0 4 8 19 25 26 27 29,0.9854873892209224,0.40604378986198314,0.3931420206240298,0.21623693178476358,0.1777792453404174,0.2548856967940807
group_3s_01,3,6,1 2 5 6 16 23,0.9994620945617455,0.4157092358987722,0.3819996601210207,0.1904015439992485,0.1727406579149582,0.29833394134035257
group_3s_02,3,1,3,0.9742145411084129,0.3910725178643202,0.3825272841732061,0.18886796568351774,0.1729792500798763,0.24717950292709634
group_3s_03,3,5,7 10 11 18 24,1.4427728010662084,0.5367560915302394,0.46623040775284913,0.19081191701363567,0.21082989275349515,0.3273303872488157
group_3s_04,3,3,9 20 22,1.0202521370257454,0.44833618409450393,0.3601987280197424,0.18211704222158842,0.16288225292805047,0.3158494279588037
group_3s_05,3,1,12,0.9585361523859575,0.4348443747496288,0.3622831388882218,0.18802198392758604,0.16382482576874915,0.2975833315796172
group_3s_06,3,2,13 28,0.9412960594026203,0.42155005870171075,0.3562756440191636,0.1807604047182646,0.1611082301158287,0.2784476993338684
group_3s_07,3,1,14,0.9625936280793748,0.4381772599263903,0.36267328102395674,0.18873379502886875,0.16400124846291042,0.2976128450999582
group_3s_08,3,1,15,1.022555019454434,0.45058561145866866,0.3606346048078661,0.18453952507398694,0.16307935688130135,0.3153235064568624
group_3s_09,3,2,17 21,1.3490540130124855,0.5277848411328278,0.43093436740684643,0.17161689736636968,0.19486898527721672,0.3161064313133451
group_3s_10,3,1,30,1.463832502674253,0.4891910510926613,0.4561761892123099,0.21599126253908682,0.20628336429594807,0.35630934355075183
group_3s_11,3,4,31 34 43 59,2.714519847070971,0.35838697043045403,0.789180377035858,0.25911542757184575,0.35686821684490616,0.4013757920406143
group_3s_12,3,4,32 33 36 50,1.4379867379015445,0.5408117362554448,0.4470725842025201,0.17083117720582588,0.20216670430130107,0.3272399211203145
group_3s_13,3,3,35 39 58,1.394595856210129,0.5257512554489884,0.4332417257452942,0.1776875715054676,0.19591237520406315,0.3302713441664455
group_3s_14,3,1,37,1.457277586423989,0.5074441207916004,0.45414047814640535,0.21709452700399565,0.20536281355844827,0.35011784037582705
group_3s_15,3,1,38,2.98698181314213,0.34812501425972103,0.8758756045036302,0.3252593297433471,0.3960718921207572,0.45534818706634245
group_3s_16,3,1,40,1.4432038416275332,0.47867640267171685,0.44954061204007495,0.212113422875249,0.20328274914876654,0.362664291439921
group_3s_17,3,3,41 54 57,1.9440798590881845,0.396272643745852,0.5873798462652654,0.22587692761871148,0.2656137993884712,0.3889941938234352
group_3s_18,3,2,42 56,1.8200290457434585,0.45015579855556487,0.5535757192825865,0.23168695451378404,0.2503275367426385,0.40556921889026465
group_3s_19,3,3,44 46 49,1.9524761280854837,0.3865029154854427,0.5871225593363817,0.24534250150125778,0.2654974539620008,0.41844789017672424
group_3s_20,3,2,45 52,2.0390645304917907,0.40470224372206004,0.615520965818806,0.21061684581525306,0.2783392439729037,0.3813393813801218
group_3s_21,3,1,47,2.0397662440638658,0.4045910506331899,0.6155441485356533,0.21040620173993899,0.2783497272224417,0.3808404420387212
group_3s_22,3,2,48 51,2.6252504459226755,0.332585417740724,0.7670476423986337,0.2639359122585532,0.34685977039372323,0.41702717519751026
group_3s_23,3,1,53,2.709393763669615,0.36528161503764717,0.7876307266661481,0.2558931634297706,0.3561674632779605,0.40276407449856994
group_3s_24,3,1,55,1.9234542696568948,0.39452380295658396,0.5805885522719614,0.24513541530679264,0.2625427689270159,0.4150356356140436
group_5s_00,5,21,0 1 2 3 4 5 6 8 9 12 13 14 15 16 19 20 22 23 27 28 29,0.5918730039225688,0.34392097015313283,0.3400296079895499,0.18446815176358716,0.15376175511798046,0.23705528502185683
group_5s_01,5,1,7,0.9020438473176963,0.3636953274699733,0.44436993291725363,0.198192047838369,0.2009445624779713,0.2590572777036169
group_5s_02,5,3,10 18 24,0.8734859997296655,0.3403770994453022,0.4268112122661973,0.19721422385033785,0.1930044900798767,0.2548979543488586
group_5s_03,5,1,11,0.8307410708095705,0.3325912006490509,0.40604705097665716,0.17823995072948473,0.1836149139711672,0.2694247056204414
group_5s_04,5,1,17,0.8196096524143663,0.3127461819917227,0.40040422384007807,0.17659315830811248,0.18106322145980677,0.2589068672690659
group_5s_05,5,1,21,0.9012666955220452,0.3204698269038819,0.4408931210468453,0.17877694789102,0.19937234440387513,0.2496503530833025
group_5s_06,5,2,25 26,0.5653338106291753,0.32629813412569003,0.3132354494735982,0.1884838906387906,0.141645407766109,0.238988646171286
group_5s_07,5,1,30,1.333340706957379,0.37996286959846765,0.5776427764645611,0.19715098857753643,0.2612106859328082,0.31596421901210664
group_5s_08,5,2,31 43,1.7417140536066138,0.3638047029848003,0.6084391456677376,0.19175133562624186,0.27513683726986266,0.3607825108076622
group_5s_09,5,3,32 35 36,0.8255708657707888,0.3335342341230468,0.38845142527144155,0.20811886998561874,0.17565815306781635,0.3238008528909108
group_5s_10,5,1,33,0.9447587987592764,0.3040046334933462,0.4484934797521488,0.18080614573672849,0.20280923479987148,0.2981222577692298
group_5s_11,5,2,34 53,1.8924909449581435,0.360389872385443,0.6795953546499898,0.196601278915584,0.3073137516431226,0.3409890325183838
group_5s_12,5,1,37,1.352610856487829,0.3987298944360303,0.5860085173696439,0.21659880898039943,0.26499368298425136,0.334023483591381
group_5s_13,5,1,38,2.1786481222972243,0.43762197325149993,0.7173690622291699,0.17355507467833467,0.3243950629119537,0.3676931652225916
group_5s_14,5,1,39,0.9041161232878104,0.3586340858115214,0.4144645794887337,0.22017634886993034,0.1874213294342945,0.3167760240021764
group_5s_15,5,1,40,0.9016367296260458,0.345881528224527,0.40677659886048,0.1950304135753128,0.18394481631032666,0.31412669808287275
group_5s_16,5,5,41 47 54 55 57,1.3006925051922393,0.35168123759537334,0.5106357284621372,0.22503929120549054,0.23091002662538662,0.35616424400995944
group_5s_17,5,2,42 56,1.4260556653881722,0.30927081613148355,0.5517220863199643,0.20528837127916683,0.24948932191963374,0.35137382605550044
group_5s_18,5,2,44 46,1.9025551457347025,0.32480953526844,0.7063766188658429,0.18830588657312414,0.3194242681785959,0.3783988119577954
group_5s_19,5,2,45 52,1.5494750548534177,0.35169516207485657,0.5920475682424602,0.2082768356341513,0.2677245482960731,0.3230645792416388
group_5s_20,5,1,48,1.7667390238342306,0.3678933200573486,0.6005420991425621,0.19746269803428282,0.2715657843220362,0.3576510303911804
group_5s_21,5,1,49,1.7430880213196194,0.37347241074097376,0.6511041343494545,0.22244588675041344,0.29442999112366214,0.3612571388344471
group_5s_22,5,1,50,0.94604850963749,0.3268674854984147,0.4491612264389438,0.2057137148703486,0.2031111905711434,0.29266089269474177
group_5s_23,5,1,51,1.7638723372233232,0.346139338199742,0.6118860195870294,0.2097669694619977,0.2766955173702055,0.35725807728132897
group_5s_24,5,1,58,0.9038355466545986,0.35860441241936886,0.41442004965404855,0.2204329288268308,0.1874011929950686,0.3170505550995856
group_5s_25,5,1,59,1.737320937886093,0.3538710257218389,0.6040805216286164,0.16751526000285458,0.27316586278291344,0.32919213874738185
