group,stripe_iml,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,3,4,5,6,7,8,9
group_3s_00,0.314,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_3s_00,0.372,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
group_3s_00,0.415,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0
group_3s_00,0.492,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1
group_3s_00,0.536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_01,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
group_3s_01,0.364,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
group_3s_01,0.401,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0
group_3s_01,0.465,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_02,0.315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_3s_02,0.365,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0
group_3s_02,0.401,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1
group_3s_02,0.465,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_02,0.481,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_03,0.383,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group_3s_03,0.444,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
group_3s_03,0.489,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0
group_3s_03,0.568,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_04,0.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group_3s_04,0.344,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
group_3s_04,0.377,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0
group_3s_04,0.435,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0
group_3s_04,0.476,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_05,0.298,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
group_3s_05,0.345,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
group_3s_05,0.38,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
group_3s_05,0.44,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_05,0.465,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_06,0.295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
group_3s_06,0.34,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
group_3s_06,0.373,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
group_3s_06,0.43,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
group_3s_06,0.471,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_07,0.298,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
group_3s_07,0.346,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
group_3s_07,0.38,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1
group_3s_07,0.441,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_07,0.466,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
group_3s_08,0.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group_3s_08,0.344,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
group_3s_08,0.378,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0
group_3s_08,0.437,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1
