record_identifier,component
7004944,H1
7010968,H2
7004702,H2
7004715,H1
7004709,H1
7001981,H1
7007993,H2
6001395,H2
4018055,H1
7004699,H1
7001738,H1
7008018,H2
4022854,H1
7008019,H1
7001732,H2
7008004,H1
7004736,H1
2000069,H2
5001611,H1
4008080,H1
2001423,H1
6001442,H2
7006391,H1
4032012,H2
7011565,H2
4031874,H2
7000975,H2
4025906,H1
4032013,H2
4028417,H1
7006416,H1
3001006,H1
7006384,H1
2000810,H2
7006707,H1
3000105,H2
5003392,H1
7006428,H1
2000817,H2
4008216,H2
4017830,H1
7006435,H2
6001712,H2
4033564,H2
4035233,H1
7006253,H1
2000775,H1
7006364,H1
7010201,H1
7004896,H2
7010681,H2
7004685,H1
7008065,H2
3000401,H2
4040644,H2
7012033,H2
7007973,H2
7012021,H2
7008087,H2
7008044,H2
3000400,H1
7004989,H2
4033810,H1
1002204,H1
7001230,H1
4033863,H1
7008022,H2
7001833,H1
7007992,H2
6001857,H1
7007976,H2
4028535,H2
6001777,H1
7004723,H1
7004711,H2
2001560,H1
2000904,H1
7007970,H2
4003091,H2
7004725,H2
3000405,H2
7001956,H2
3000381,H2
3000382,H2
3000387,H2
7004899,H1
7011341,H2
7001154,H1
7001969,H2
4033698,H1
3000382,H1
4040099,H2
4022837,H2
7001970,H2
4040392,H2
7001766,H1
7010501,H1
3000185,H2
6001863,H1
4035517,H1
7007982,H1
7008017,H2
4028577,H2
7004724,H1
7004845,H2
7012039,H2
4032007,H2
7006498,H2
7004747,H2
7004848,H2
7008114,H2
4010012,H2
6001533,H2
7006631,H2
4008132,H1
4008216,H1
7011549,H2
7006238,H1
4008218,H1
7006398,H2
4019760,H1
7006388,H1
4028624,H1
6002702,H2
7005022,H2
4025829,H2
2000759,H1
6001716,H2
4008212,H1
4007427,H2
7006261,H1
7008193,H1
6001855,H2
4033719,H2
4040066,H1
4031788,H2
1002907,H1
2000812,H1
2000762,H1
6001533,H1
7006265,H2
4017771,H1
7006406,H1
5003392,H2
7006238,H2
7006169,H2
4032458,H1
4008193,H2
7010261,H1
7011277,H2
7004685,H2
3000431,H2
4003225,H1
7006261,H2
6001524,H2
3001305,H2
4019360,H1
7010261,H2
7001231,H1
4035215,H1
7006725,H1
4026654,H1
7001223,H1
4025927,H2
2000775,H2
2000774,H2
4017823,H2
6000336,H2
4022715,H2
4017129,H1
6001688,H2
7005966,H1
6001706,H1
7011564,H2
4017073,H1
7006736,H1
4034662,H1
6001697,H2
7011548,H1
7006384,H2
4022446,H2
4017187,H2
3001020,H1
4007534,H1
4007295,H2
4034773,H1
7005961,H1
7006638,H2
1002822,H2
4028369,H2
4028257,H1
4022750,H1
4034338,H2
7005899,H1
7005979,H1
4034730,H2
7006668,H1
1000052,H1
4007430,H2
4034766,H1
7005894,H1
6001726,H1
4022716,H1
7006050,H1
7006546,H1
7005971,H1
4022523,H1
7006224,H2
6001689,H1
1002853,H2
7006381,H1
4034403,H2
4028259,H2
4007346,H2
7005922,H2
7006685,H1
4007547,H2
4028157,H2
4016897,H1
4017105,H1
4007307,H1
4022750,H2
3001574,H2
1002861,H1
4028417,H2
4034338,H1
4034633,H2
7006088,H1
4034403,H1
7005939,H2
4022475,H1
4034481,H1
4016788,H2
4022521,H1
4022649,H2
3001308,H2
4034662,H2
4017140,H1
4016826,H1
3001289,H1
3001288,H1
6001706,H2
4034660,H2
1002969,H2
7006256,H1
4031821,H2
2001635,H2
7010492,H1
4037245,H2
7006231,H2
7002763,H2
7001204,H2
4022757,H1
4025882,H1
4022837,H1
4039219,H2
4040725,H1
4040096,H1
3000436,H1
4023122,H1
5001487,H2
6001549,H2
6001144,H1
7003468,H2
4031842,H1
7002771,H2
7006245,H1
2000055,H1
4017875,H2
7002931,H2
6004592,H1
7004716,H1
7008070,H1
3000408,H2
7005904,H1
4032032,H2
4027499,H2
7007075,H2
7006256,H2
7001223,H2
7002316,H2
7010140,H1
6004599,H1
6001518,H2
7001174,H1
7010375,H1
7000070,H1
7006733,H1
6001150,H2
7011021,H2
3001299,H2
7007901,H1
7010373,H1
4027146,H2
2001637,H1
4034754,H1
5003393,H2
4028399,H1
7010162,H1
4026677,H1
4021919,H1
4022538,H1
4031853,H2
4034753,H1
4009729,H1
4021854,H1
4022632,H2
1001275,H1
6000065,H1
4019164,H2
4028304,H2
7011643,H2
1001754,H1
4021919,H2
4017129,H2
4025927,H1
4009694,H2
2000064,H1
4009619,H2
7001203,H1
4008104,H1
5004040,H2
4031958,H1
4019385,H2
5001510,H2
4026031,H2
7001143,H2
1002267,H1
4025895,H2
4019453,H2
4007256,H2
1002487,H2
4008199,H2
1001780,H1
1001739,H2
5004057,H2
4008213,H1
4009635,H1
7011520,H1
7011008,H2
7011261,H2
4017865,H2
1002578,H2
4019353,H2
4021941,H2
1002440,H2
2000814,H2
1001770,H2
6001529,H2
4021959,H2
4010137,H2
3001493,H1
6000542,H1
7005772,H2
7006634,H2
7011225,H2
4009509,H2
7001205,H2
4025921,H2
1002520,H1
2001584,H1
2000806,H1
5004019,H2
4040268,H1
7006067,H2
4009734,H2
2000808,H1
4009685,H1
7005364,H2
7006467,H1
1001769,H2
7006689,H2
4009726,H1
7006425,H1
4033503,H2
7004868,H1
7004923,H2
7004994,H2
5001763,H2
6004532,H1
7008217,H1
6001762,H2
4016749,H2
4008565,H1
7004729,H1
4033663,H2
3001398,H1
4022833,H1
6006369,H1
6003837,H1
3000402,H2
3000386,H1
7002029,H2
7002051,H1
5003374,H1
6002707,H2
4033838,H1
4012459,H1
7008065,H1
7008140,H2
7008085,H2
7004771,H2
4016745,H1
4033868,H1
3001999,H1
4033732,H2
3000389,H2
3000052,H2
4028564,H2
4007126,H1
3001439,H2
7004956,H2
7004720,H2
7001746,H1
6001712,H1
6001715,H2
6002226,H1
4040123,H2
7008146,H1
7004908,H1
7007997,H1
7004882,H2
4023296,H1
4028563,H2
7008060,H2
4030513,H2
7001823,H1
7007979,H2
6004534,H1
4028845,H2
7001976,H1
4033837,H1
4033700,H2
3000390,H2
4026710,H1
7004751,H2
7001732,H1
7001268,H2
7004906,H2
7004718,H2
7001782,H2
4009391,H1
7008080,H2
4007099,H2
4038115,H1
7011797,H2
7008045,H2
4040393,H2
4023067,H1
7004889,H1
3001961,H2
7004705,H1
7001747,H2
4033920,H1
7001742,H1
7001841,H2
6002907,H1
7001967,H2
3000367,H1
1000705,H2
7001738,H2
4024720,H2
6001373,H1
7008236,H1
7001741,H1
6005167,H1
3000390,H1
4028832,H1
7004778,H2
6001221,H2
7001739,H1
7001843,H2
4038463,H2
2000004,H2
7004863,H2
3000362,H2
4040498,H1
4028577,H1
7001032,H2
6001407,H1
4018479,H1
3000260,H1
7004734,H1
7004694,H1
7004745,H2
7001735,H2
6000994,H1
7007968,H1
7007984,H2
7004726,H2
3000391,H1
